,altitude,latitude,longitude,speed,heading,avg_link_slope,preds
104,150,52.31111974,10.81772866,6,277,-0.5284,-0.5283929
65,140,52.31370983,10.78610064,6,276,0.070142857,0.06953605
181,137,52.31368694,10.78651428,6,272,0.070142857,0.0700401
157,111,52.39947505,9.735836349,0,161,0.004125,0.004087447
190,138,52.31370346,10.78627976,0,202,-0.555736842,-0.5553045
240,150,52.31111974,10.81772866,6,277,-0.5284,-0.5283929
312,137,52.31364059,10.78707059,4,275,0.070142857,0.0700401
34,137,52.3136188,10.78728533,0,189,0.070142857,0.06993614
106,150,52.31114228,10.81751056,4,278,-0.5284,-0.5283929
200,140,52.31369994,10.78625126,2,274,0.070142857,0.07128853
371,151,52.31108017,10.81826317,0,211,-0.5284,-0.5283929
1,434,51.36992463,9.63753012,41,110,1.731384615,1.7311026
108,149,52.31116869,10.81717009,10,275,-0.5284,-0.5283929
178,137,52.31366306,10.78679382,9,277,0.070142857,0.0700401
3,432,51.36908267,9.637469938,46,236,1.731384615,1.7305568
60,140,52.31369994,10.78626484,0,218,-0.555736842,-0.5560162
113,146,52.31130187,10.81544392,8,277,-1.162666667,-1.1625563
166,82,53.05516217,8.504289268,49,276,-0.286857143,-0.28600508
62,140,52.31369918,10.7862635,0,155,-0.555736842,-0.55593336
359,150,52.31104639,10.81876592,0,240,-0.5284,-0.5283929
389,145,52.31133104,10.81508584,0,238,-1.162666667,-1.1625563
343,140,52.31379935,10.78471385,0,157,-0.555736842,-0.55576926
46,137,52.31369088,10.78642837,3,274,0.070142857,0.0700401
42,137,52.31366306,10.78679382,9,277,0.070142857,0.0700401
365,150,52.31106467,10.81842276,0,258,-0.5284,-0.5283929
197,140,52.31369918,10.78626383,0,211,-0.555736842,-0.5560162
188,138,52.31370295,10.78628076,0,118,0.070142857,0.06977503
345,141,52.31381846,10.78434982,10,274,-0.555736842,-0.55584717
369,150,52.31107489,10.81829636,0,199,-0.5284,-0.52866757
2,433,51.36947528,9.638005961,43,177,1.731384615,1.6978353
334,140,52.31369918,10.7862635,0,155,-0.555736842,-0.55593336
390,146,52.31133088,10.81508559,0,161,-2.021384615,-2.0210843
118,146,52.31133088,10.81508559,0,161,-2.021384615,-2.0210843
176,137,52.31364059,10.78707059,4,275,0.070142857,0.0700401
270,192,51.92341648,10.13987459,80,202,0.542,0.5418502
96,150,52.31107414,10.81830567,2,273,-0.5284,-0.5283929
395,146,52.31133088,10.81508383,0,141,-2.021384615,-2.0210843
195,140,52.31369943,10.78626534,0,192,-0.555736842,-0.5562908
99,151,52.31108017,10.81826317,0,211,-0.5284,-0.5283929
132,193,51.92497979,10.14099944,46,189,0.038875,0.03963176
348,140,52.31382927,10.78410926,0,194,-0.555736842,-0.55584264
292,111,52.39947262,9.735836349,0,179,0.004125,0.004087447
228,149,52.31106307,10.81845235,3,273,-0.5284,-0.5283929
304,137,52.31361838,10.78728869,2,278,0.070142857,0.0700401
362,150,52.31104656,10.81869928,1,277,-0.5284,-0.5283929
276,430,51.36873063,9.636442149,64,242,0.627,0.6290931
194,140,52.31369876,10.78626802,0,193,-0.555736842,-0.5562908
356,150,52.31102762,10.81895317,8,276,-0.5284,-0.5283929
77,140,52.31382994,10.78410859,0,133,-0.555736842,-0.55587524
31,137,52.31361344,10.78736152,2,272,0.070142857,0.0700401
249,146,52.31130187,10.81544392,8,277,-1.162666667,-1.1625563
231,150,52.31106835,10.81840483,0,245,-0.5284,-0.5283929
210,140,52.31382298,10.7841293,1,277,-0.555736842,-0.5559581
224,149,52.31104782,10.81873239,1,275,-0.5284,-0.5283929
290,111,52.39947958,9.735843558,0,179,0.004125,0.004087447
274,433,51.36947528,9.638005961,43,177,1.731384615,1.7305568
227,149,52.31105377,10.81859434,8,277,-0.5284,-0.5283929
277,429,51.36845419,9.635569593,50,241,0.627,0.65967584
351,140,52.31383136,10.78410792,0,93,-0.555736842,-0.5554852
162,81,53.05564966,8.512184098,88,255,-0.139916667,-0.13966961
216,140,52.31384075,10.78403215,8,275,-0.555736842,-0.55584717
192,139,52.31370379,10.78627917,0,166,-0.555736842,-0.55600375
123,146,52.31133088,10.81508383,0,141,-2.021384615,-2.0210843
58,140,52.31369876,10.78626802,0,193,-0.555736842,-0.5562908
241,150,52.31113155,10.81760419,5,278,-0.5284,-0.5283929
14,108,52.40301272,9.735288257,38,173,-0.2135,-0.21329913
311,137,52.3136297,10.78719154,8,277,0.070142857,0.0700401
179,136,52.31367286,10.78669156,1,288,0.070142857,0.0700401
325,138,52.31370312,10.78628026,0,198,-0.555736842,-0.5553045
163,82,53.05545252,8.51079287,84,258,-0.139916667,-0.13966961
8,417,51.36649073,9.62963772,91,242,2.553928571,2.5538435
243,149,52.31115402,10.8173788,8,277,-0.5284,-0.5283929
4,430,51.36873063,9.636442149,64,242,0.627,0.59637153
27,82,53.05545252,8.51079287,84,258,-0.139916667,-0.13966961
98,151,52.31107975,10.81827432,1,272,-0.5284,-0.5283929
131,143,52.10142262,8.718678067,41,57,2.3065,2.3061397
339,140,52.31379515,10.78471477,0,184,-0.555736842,-0.5561267
66,140,52.31371762,10.78602117,2,276,0.070142857,0.07128853
